sleep another hundred years M 296
slide without friction along D 692
slave states seceded from D 240
sliding without friction down D 232
sloping gently upwards from D 216
slyly poured vinegar into D 206
sliding without friction along D 116
slant height measured from D 116
sloping pretty rapidly down D 108
slide without friction down D 104
slope should himself have D 96
