sketched any distinct plan D 274
sketches and finished work D 270
skirmish had expanded into D 132
skirmish and surprise there D 128
skeleton has recently been D 110
sketches and excerpts from D 102
skeleton was obtained from D 100
sketches and pictures were D 98
skirmish was actually taking D 86
skeletal and cellular health D 86
