zealous men and women M 552
zealous for his glory M 492
zealous for his cause M 316
zealous for that which M 214
zealous for that order M 184
zealous for his people M 128
zealous than his father M 120
zealous for his honor M 120
zealous for her glory M 112
zealous for its glory M 106
zealous for our cause M 102
