zen practice and the M 187
zeal prompted him to D 909
zeal impelled him to D 332
zeal prompted them to D 296
zeal entitles them to D 216
zeal entitled them to D 170
zeal increased with the D 129
zeal procured him the D 114
zeal combined with the D 110
zeal inspired him to D 107
zeal awakened with the D 105
zen lunatics who go D 98
zeal involved him in D 96
