blocked blood vessels and M 192
blanket which covered him D 272
blanket which covered his D 228
blanket which covered her D 210
blunder after blunder and D 186
bloated civil service and D 146
bloated forms swollen with D 118
blanket words covered them D 114
blanket about himself and D 102
blister draws sharper than D 82
