seek power over others M 1918
seen under high power M 1218
sets human beings apart M 1123
seek input from others M 606
sent hither from heaven M 458
seen within these walls M 456
seen about three miles M 440
sent within three months M 410
send people into space M 372
seen under warm light M 363
self could have found M 354
seen since last night M 333
seen about four weeks M 310
seen until much later M 300
seen every three months M 298
seen about four miles M 298
seek first your kingdom M 288
seen within five miles M 286
sent within three hours M 282
send money home every M 272
self apart from others M 272
seen either from above M 267
sent every three months M 264
seen about five miles M 254
sent money home every M 244
seen since their first M 212
seen anything more noble M 198
seen after three months M 198
seek after many words M 194
seen within four hours M 190
seen about three times M 186
seeing loved ones again M 184
sent under heavy guard M 178
seen every clear night M 178
seem quite sure about M 176
sell below cost price M 168
seem quite clear about M 160
sent fires from heaven M 156
seen running from house M 156
sent about from place M 154
sell below book value M 148
seen getting into stage M 145
seek every means which M 144
sent round from house M 142
seek change from within M 142
sent about three weeks M 140
seen falling from heaven M 140
seen since early morning M 137
sent others into exile M 136
seen within those walls M 134
seen seven very large M 134
seen under what terms M 132
seen thirty years later M 130
seed which will yield M 129
seen within their walls M 128
sent order upon order M 122
seeing others also happy M 122
sent within three weeks M 120
seen within three weeks M 120
seen within three months M 120
seen stealing along under M 116
sell within three months M 115
self which lies beneath M 114
seen anything more grand M 114
seen while wide awake M 112
seen until well after M 112
seen bending their steps M 112
sell below list price M 110
seen every clear morning M 110
self since last night M 108
seen anything more nearly M 108
seek after those which M 108
seen stealing from below M 107
seen after three weeks M 106
seen within three miles M 104
seed comes from every M 104
self whose slow growth M 101
seen fifty years later M 100
seek input from people M 98
seen until some hours M 96
seen today were built M 96
seen forty years later M 96
seen under blue light M 94
seen seven years later M 94
seen since their parting M 93
seen anything more winning M 93
sent sixty more girls M 92
seen since just after M 92
self could take place M 90
seen about four times M 90
sell under cost price M 88
seen within many miles M 88
seen since their meeting M 88
sees others making large M 86
seen anything more plain M 86
seeing people moving about M 86
sell below their costs M 84
self which lies within M 84
seen within some miles M 84
seen anything last night M 84
seem light years apart M 84
seek beneath these masks M 84
self which brings about M 82
seen within these cells M 82
sent trees flying about M 80
send email from within M 80
seen anything wrong about M 80
sets about three hours M 74
seem really worth while M 56
seem quite worth while M 54
sell below face value M 47
seats votes seats votes D 1666
sect which nothing could D 542
seen under these changing D 366
sent manna from heaven D 288
seen popping their night D 242
seed which bore fruit D 236
seeing eight wild boars D 232
self shall feel stern D 226
seen smoking their pipes D 226
sect after sect arose D 214
seen wagging their white D 210
sent thither from hence D 208
seen kicking their heels D 208
seen picking those husks D 202
sets aside what would D 186
sent tapes from moody D 179
seen peeping from beneath D 178
seen soaring high above D 177
send thither many large D 152
seen after high doses D 138
seats round three sides D 138
sent peter away quite D 136
seen within giant cells D 136
searing might have fired D 132
sent mommy some roses D 126
seen winding from cliff D 118
seen linking their coral D 116
seen bending like reeds D 116
seals which were found D 114
seen opening their doors D 112
seen anything like social D 112
seek loans from banks D 112
sewing patch upon patch D 110
send manna from heaven D 110
seen where young plums D 106
seed falls among thorns D 106
seen issuing from beneath D 102
seen faces like yours D 101
self apart from social D 100
sect which slid first D 98
sell within their shops D 94
self would have found D 92
seek input from staff D 92
sent again from thence D 91
seen peeping from under D 88
sect arose much about D 88
seen issuing from every D 86
seen trout dash about D 84
seen holding their mouths D 84
seen within their social D 82
seen rubbing their hands D 82
sell under their brand D 80
seed which will ripen D 80
seats would have given D 80
send paste undo check D 74
