seek recommendations from the M 142
seek indemnification from the D 1222
send reinforcements from the D 654
sent reinforcements from the D 436
send reinforcements into the D 312
sent electronically from the D 260
seem insufficiently true in D 154
seek reinforcements from the D 138
sent reinforcements into the D 98
sent correspondents into the D 88
sent electronically over the D 86
