apes have no tails D 250
apex angle of about D 206
apex from the spine D 166
apex during the reign D 154
apex will be found D 143
apse over the altar D 137
apex during the first D 130
apnea during the first D 124
apex during the period D 106
apes from the lower D 102
apex angle of which D 45
