utilizes knowledge of the M 355
utilized primarily in the D 638
utilized elsewhere in the D 628
utilized primarily by the D 362
utilized especially in the D 165
utensils necessary to the D 162
utilized increasingly in the D 142
utensils consisted of an D 138
utilized primarily as an D 136
utilized especially by the D 108
utilized repeatedly in the D 104
utensils available in the D 98
utilized somewhere in the D 94
utensils contained in the D 92
utensils necessary in the D 84
utilized resources in the D 60
utilized knowledge of the D 44
