utmost i can hope M 401
uttering a new word D 547
uttering a few last D 404
uttering a few more D 252
utters a low moan D 232
uttering a long sigh D 202
uttering a low moan D 196
uttering a cry like D 188
utters a low note D 186
uterus a few days D 177
utters a cry like D 138
uttering a lie from D 124
utters a few soft D 120
utters a cry when D 100
uttering a low note D 94
