utilizes more than one M 813
utilized more than one D 650
utilized when they are D 537
utensils were few and D 270
utilized more than any D 186
utensils used for eating D 182
utensils when they are D 110
utilized what they had D 106
utilized more than two D 106
utilized more than they D 102
utilized less than one D 42
