drives for particular results M 214
drilling and exploration company D 478
drilling and geophysical surveys D 282
drinking and disorderly conduct D 227
drives are mechanical devices D 180
drowsy had accustomed himself D 160
drawings and watercolor paintings D 154
drinks any spirituous liquors D 141
drilling and geophysical studies D 93
drinking and aggressive behavior D 92
dressing its disordered plumage D 82
