outsourced to a third D 798
outweighed by a more D 395
outweighed by a single D 372
outbuildings of a farm D 292
outweighed by a very D 264
outweighed by a loss D 230
outweighed by a gain D 174
outbuildings on a farm D 150
outweighed by a great D 134
outweighed by a good D 86
outweighed by a high D 84
outflanked by a more D 40
