eastward for more than M 753
earliest and most far D 321
earliest and also one D 260
earliest and ending with D 224
earliest and most long D 185
earliest but also one D 179
easiness doth make them D 169
earliest and best was D 162
earliest and best are D 144
eatables and other things D 112
earthwork was laid out D 90
