twenties and hundreds and M 142
twinkled and trembled and D 430
twinkled with mischief and D 244
twitched his eyebrows and D 206
twitched and twinkled for D 154
twinkled and bristled with D 150
twitched his whiskers and D 144
twitched and trembled with D 116
twilight had deepened and D 98
twitched his shoulder but D 96
twitched his mustache and D 86
twilight and darkness and D 84
twilight and observed how D 80
