twigs and branches . M 9668
twice that distance . M 4680
twice this distance . M 852
twice that quantity . M 734
twice for emphasis . M 432
twice this quantity . M 400
twice its capacity . M 238
twice that expected . M 180
twice that capacity . M 152
twice that elevation . M 98
twice this capacity . M 84
twice for treatment . M 80
