twig came out words M 80
twas meant for merit D 340
twas tied with threads D 206
twin sets and pearls D 190
twas thine own seeking D 151
twin birth with reason D 140
twas true and loyal D 132
twas high and right D 113
twas what you could D 103
twin boys who lived D 84
twas early one morning D 59
twas vice that shook D 52
twin beds with white D 46
twas only fear first D 44
