twofold in its purpose M 45
twisted in her stomach D 746
twisted in his stomach D 403
twitching of his muscles D 372
twitching of his features D 267
twitching of his eyelids D 244
twisted in his embrace D 206
twisted of two strands D 198
twitted by his friends D 176
twitching of her eyelids D 124
twisted up and secured D 115
twitching of his scraggy D 104
twisted as she watched D 103
twinkle in her husband D 96
twitching of his eyebrow D 88
twisted up her letters D 84
