pity himself from heaven M 144
pine blister rust fungus D 331
pigs invasion took place D 258
pious formula into which D 224
pine forests from which D 157
pious parents were really D 144
pigs suffering from swine D 144
piano lessons were given D 143
pine needles were still D 139
pine blister rust which D 132
pike against their right D 130
piano lessons even though D 88
pink jackets like hunting D 86
pine seedlings were grown D 85
pine needles upon which D 40
