pity had murdered infinite M 172
pious and virtuous education D 624
pious and laborious minister D 282
pigs and nonhuman primates D 238
pigs and chickens wandered D 178
pious and religious purposes D 154
piping and pipeline engineering D 151
pious and religious education D 140
pine and mountain mahogany D 105
pious and obedient children D 92
pink and lavender blossoms D 88
pious and devoutly religious D 84
