piety very different from M 102
pines have developed their D 274
pigeon having inherited from D 260
pigeon have descended from D 244
piles were scattered among D 238
pipes were recovered from D 226
pinning down precisely what D 134
pipes have sometimes been D 102
pipes were suspended from D 98
