hereafter break these articles M 188
hereafter call your attention M 140
headaches have been reported D 428
headaches were less frequent D 218
heretics from their dominions D 192
headaches were more frequent D 132
headaches have been observed D 122
hectares have been declared D 120
hectares have been acquired D 114
hereafter much more pestered D 112
headlands into deep eternity D 108
hectares have been affected D 98
heredity have been proposed D 90
