ship somehow seems always M 124
shut several times before M 86
show himself strong enough M 86
show several times before M 41
shot several times through D 306
shot several times before D 144
shot several balls through D 125
shot fifteen times without D 118
shot himself while insane D 94
shop carried small stocks D 88
show extreme filial regard D 82
