shameful contrast than might M 120
shortest distance for which M 100
shorthand property for setting D 318
shoulder abduction and elbow D 296
shepherd protects his sheep D 153
shackles accident and bolts D 129
shepherd protecting his flock D 114
shoulder extension and elbow D 107
shepherd pastures his flock D 102
shortest wavelength for which D 100
shepherd protects his flock D 94
shepherd neglects his flock D 80
