shadowy systems which impose M 98
shifted towards lower values D 506
sharply divided court upheld D 358
sharply divided about whether D 260
sharply divided within itself D 250
sharply defined melting points D 208
shifted towards lower energy D 118
shifted several times before D 98
sharply defined class system D 88
sharply pointed stick dipped D 84
sharply several times before D 41
