cynical man about town M 86
cyclone and tidal wave D 1165
cyclone and tidal bore D 287
cyclone and storm wave D 130
cyclone that swept over D 129
cymbals and snare drum D 122
cypress and white pine D 120
cypress and stone pine D 120
cyclone had swept over D 101
cyborgs are built into D 90
cymbals and drums were D 84
