quoted letter was written M 166
quartz grains are present D 327
quartz grains and pebbles D 318
quartz grains are usually D 282
quarto edition being omitted D 148
quartz grains are rounded D 146
quartz clocks and watches D 138
quaint shapes and figures D 138
quails before his threatening D 108
quaint habits and customs D 104
quaint tricks and devices D 88
quaint gables and jumbled D 84
quaint chairs and settees D 84
quartz lenses and stringers D 55
