quoted introduction to his M 86
quoted extensively in this D 730
quoted extensively in his D 232
quotes extensively in his D 168
quaint illustration of this D 158
quaint resemblance in its D 152
quaint workmanship of his D 132
quotas contributed by each D 106
quaint originality of his D 80
