overall conclusion drawn from M 330
overall mortality ranges from M 90
overall population growth rate D 1738
overall mortality rates were D 278
overall industrial growth rate D 276
overall residence times more D 270
overall mortality rates have D 204
overseas countries which have D 164
overall mortality rates from D 136
overall population growth will D 130
overall population growth during D 112
