justified when compared with M 377
judgments were compared with M 280
judgments into analytic and M 272
judgments were obtained for M 188
judgments were rendered for M 144
judgments were reversed and M 110
judgments were enforced was M 90
judgments were obtained and M 84
juveniles were arrested for D 970
judicially more unseemly nor D 340
judgments were reserved for D 94
juveniles were arrested and D 88
