noticeable for a distance M 114
nomination was a foregone D 926
nominated for a pushcart D 901
northwards for a distance D 508
noteworthy that a majority D 376
nominated for a governor D 372
nomination was a surprise D 308
normative and a positive D 244
nominated for a supporting D 140
northwards with a numerous D 131
noteworthy that a somewhat D 124
nomination and a platform D 116
nomination with a grateful D 88
noteworthy for a beautiful D 84
