tour provided an opportunity M 80
took hundreds of photographs D 1598
took seriously the possibility D 1352
took thousands of photographs D 1002
tool employed by individuals D 160
took therefore an opportunity D 146
took seriously the implications D 124
took seriously the requirement D 96
town resigned to drunkenness D 92
