told about a particular M 426
town after a successful M 136
town feels a restriction M 82
took place a remarkable D 614
took place a conference D 208
toad under a steamroller D 132
took place a substantial D 108
took place a continuous D 106
took place a relatively D 102
took place a tremendous D 96
