jail without even a M 86
jack looked like a D 390
jack should have a D 344
java applet into a D 160
jack seemed like a D 156
java object into a D 150
jack pulled into a D 124
jaws snapping like a D 106
jack turned into a D 104
jack walked into a D 102
jaws closed like a D 100
jack worked like a D 94
jaws shaped like a D 84
