jailed until after the M 98
jacket fitting close to D 192
jacket which could be D 152
jarred every nerve in D 134
jargon which seems to D 134
jagged edges where the D 134
jagged rocks below the D 132
jacket which keeps the D 114
jasper proving willing to D 98
jasper never asked the D 98
jagged edges began to D 96
jacket which ended at D 88
jacket cooling water is D 88
jargon which makes an D 82
jagged rocks where the D 80
