crying became louder and M 162
cream tastes better than D 254
cream cheese frosting and D 212
crew should remain with D 170
crop varies greatly with D 164
crew barely escaping with D 158
crew seemed asleep but D 118
crop yields remain low D 108
cringing wretch called him D 104
crab nebula pulsar was D 100
cream cheese topped with D 86
