crying sometimes when she M 136
crew abandoned ship and D 612
crop production during this D 158
crop production have not D 126
crying crocodile tears for D 112
crop production will not D 105
crop production more than D 103
crop production other than D 101
crop production from year D 94
crop production data for D 94
crop production were not D 93
