sniffed loudly and said M 132
sniffed around each other M 110
snorted through his nose D 1186
snorted through her nose D 457
snuffling through his nose D 228
snarled through his teeth D 220
sneered through his nose D 188
snicker behind his back D 170
sneered behind his back D 128
sniffed through his nose D 124
snicker behind her back D 110
snapped through her sobs D 92
snapped around his neck D 90
sneakers sticking out from D 86
