snakes seized its own D 262
snugly around her and D 256
sneaked behind him and D 202
snaked around her and D 192
snowed heavily all day D 164
snooping through his things D 130
snugly around her head D 124
snugly around his head D 114
snarling police dog set D 112
sniffing around her for D 102
sniper picked him off D 94
snooping through her things D 88
snakes around her head D 85
