snarling police dogs and D 200
snooping around here for D 158
snooping around like this D 102
snugly tucked into bed D 100
snacks around here for D 96
snooping around here and D 94
snooping around like that D 93
snakes crawling over him D 88
snakes crawling over his D 85
snails crawling over them D 82
