families i had known M 388
faltered a few words M 130
families a few miles M 124
farewell a year later M 110
faltered a few times M 108
faltered a few steps M 94
facility a few miles D 300
fastened a long piece D 180
fashioned a new image D 152
fashioned a new world D 145
fastened a long train D 92
farmland a few miles D 53
