dimly i was aware M 296
ditch a few yards D 434
digging a new grave D 375
digging a new canal D 332
digging a pit about D 208
dived a few yards D 178
digging a new ditch D 174
dined a few times D 140
digging a pit under D 138
digging a few holes D 136
digging a new sewer D 134
ditch a few miles D 124
digging a long ditch D 120
digging a few yards D 108
diner a few miles D 95
digging a big ditch D 94
