dimly i can see M 114
digging a pit for D 1906
digging a pit and D 830
digging a new one D 563
digging a way out D 304
dirty i can not D 258
digging a pit with D 240
digging a new pit D 196
dizzy i can not D 131
digging a new bed D 124
digging a bed for D 116
digging a big pit D 104
dirty i did not D 84
digging a new den D 82
dizzy i did not D 41
