dined at separate tables D 220
dimming the electric lights D 200
dialed the unlisted number D 166
dialed an internal number D 166
digging of drainage canals D 141
dialed the hospital number D 140
dialed the sheriffs office D 134
dialed an unlisted number D 132
disks of mammalian cardiac D 120
dirty or infected wounds D 98
digging of trenches around D 47
