somersaulted in the air D 704
solicitations of the one D 388
solicitations of the men D 366
solitariness of the way D 124
solicitations of the two D 124
solicitations of the earl D 112
solicitations of the old D 110
solicitations of the mob D 98
solicitations of my dear D 96
solitariness of my own D 84
solicitations of my own D 84
southwestward to the head D 55
