natural mind continually acts M 124
national land development plan D 1186
national film development fund D 284
national health development plan D 206
national health expenditure data D 176
national lake conservation plan D 174
national army cantonments were D 140
national debt accumulated during D 128
national debt skyrocketed from D 122
natives were distributed among D 92
natives will continually join D 80
