rotations have not been M 130
romantic love has been D 1636
romantic poets and epic D 783
romantic poets and their D 722
roadside when you meet D 614
routines over and over D 527
roughest gale that ever D 390
routines have not been D 378
romantic love but also D 334
romantic love and free D 282
romantic love had been D 280
romances have not their D 274
romantic poets who were D 258
roughest time with your D 242
romantic love you want D 228
romantic love and love D 209
rocketed back and forth D 198
romantic love may have D 192
romantic love and lust D 183
rosemary bush that grew D 178
romantic love for their D 178
royalist army had been D 176
romantic mind was like D 174
romantic love and other D 174
romantic life has been D 174
romantic tale has been D 162
romantic love has come D 156
romantic songs with more D 153
romantic lake that bears D 150
romantic mind and such D 148
romantic love and self D 148
romantic love can only D 144
romantic life for ages D 142
roadside bank with open D 136
romantic note and clear D 130
romantic life had been D 130
romantic love not only D 119
roadside here and there D 119
romantic love was more D 118
romances have long been D 116
roommate when they were D 104
romantic love are also D 104
romances were then most D 104
romantic poets had been D 102
romantic love and their D 102
romantic girl for whom D 102
routines will not work D 100
romantic ride and walk D 100
roadside weed and moss D 96
romantic poets for whom D 94
romances were then very D 94
romantic love can also D 92
romantic love and also D 92
romantic love and what D 91
romantic when they were D 90
romantic love and from D 87
romantic love that were D 86
romances were not only D 86
routines will not have D 84
romantic love can last D 84
romantic love was also D 82
romances over and over D 80
romances from new york D 80
romantic love and more D 54
