rotations involved are small M 124
romantic interest with which D 252
romantic intention and vision D 168
roofless exposure for which D 150
romantic movement that swept D 126
romantic wildness and beauty D 108
romantic illusions and empty D 96
romantic movement that began D 90
romantic splendor and pathos D 88
romantic rhetoric with which D 84
romantic movement had spent D 80
