routine maintenance work and M 150
rotated periodically from one M 90
roughly categorized into two D 564
roughly equidistant from each D 286
rounded teaspoonfuls into hot D 243
roughly distinguished into two D 230
roughly equidistant from both D 164
roughly equidistant from all D 144
roughly equidistant from one D 126
