breath shall never renounce M 117
brings about right relations M 108
bringing about rapid economic D 554
bringing about social equality D 354
bread grain milling industry D 220
bringing about racial equality D 214
bringing about social progress D 210
bringing major league baseball D 197
break easily under pressure D 112
break major league baseball D 110
bringing about social mobility D 94
brings about undue hardship D 86
brings about rapid recovery D 84
