break entirely with tradition M 148
bringing producer and consumer D 340
bringing soldiers and supplies D 277
brow furrowed with confusion D 248
bringing products and services D 192
bringing employer and employee D 180
brow furrowed with wrinkles D 126
bred suspicion and distrust D 114
brow wrinkled with confusion D 106
bringing supplies and fourteen D 100
bringing internal and external D 82
