break his concentration , M 559
break his commandments , M 432
break her concentration , M 208
break out unexpectedly , M 188
breath and consciousness , M 184
breath and concentrated , M 120
brings them tranquillity , M 116
break off communication , M 108
breath with astonishment , M 106
break out notwithstanding , M 84
