brings disorder or disruption M 90
bringing attention to themselves D 349
bringing supplies of provisions D 240
bringing children of different D 224
bringing products to customers D 162
bringing pressure on employers D 130
bringing disgrace on themselves D 114
bringing students of different D 112
bred greatness of character D 98
brow collects the scattered D 96
bringing disaster on themselves D 96
brow furrowed in disbelief D 88
