thoughtless and selfish and M 112
thermometer was covered with D 202
thanksgivings and prayers for D 188
thermometer one hundred and D 184
thermometer and stirrer are D 152
thermometer and stirrer and D 146
thermometer was stuffed with D 138
theoreticians who believe that D 116
thermometer for general use D 99
thunderclap that settled things D 90
