switched network such as D 278
sweetest flowers from the D 118
sweepers differs from the D 118
sweetest perfume from the D 114
swallows skimmed over the D 102
swallows swooped over the D 92
swaggering ruffians from the D 92
switched quickly back to D 84
swallows flitted over the D 84
switched support from the D 82
switched rapidly from the D 82
