sweet as i am M 100
sworn to a thing M 90
swims in a sea D 917
swift as a roe D 499
swept by a sea D 403
sword of a king D 246
sweep of a wing D 218
swell of a sea D 210
sweep of a sea D 182
swims on a sea D 150
swift as a doe D 115
sweet as a sea D 115
swift as a sea D 103
swift as a wing D 80
