swear to maintain liberty M 82
swim the delicate sisters D 318
sway in temporal affairs D 132
swings in financial markets D 110
sweat of patients suffering D 110
sway in religious matters D 104
swinging in opposite corners D 102
sway in academic circles D 96
swung the pendulum towards D 90
