rumours were spread among M 136
ruthless hand would ever D 1006
ruinous wars shall pass D 436
ruthless laws which only D 200
rupture during labor among D 144
rustled like leaves from D 126
ruinous live apple tree D 126
rupture took place during D 114
rupture took place when D 102
rubbish from falling into D 88
rubbish there would have D 40
