ruthless towards his enemies M 94
rupture between this country D 286
rupture between her husband D 280
ruinous castles and palaces D 208
runaway sailors and escaped D 150
rupture between that country D 142
ruffled against his forehead D 138
ruinous palaces and temples D 92
rupture between old friends D 80
