pure mountain water , M 794
pure category alone , M 344
pure religious feeling , M 332
pure mountain stream , M 268
pure parental types , M 166
pure immortal frame , M 110
pure concepts arise , M 108
pure business terms , M 92
pure intuition alone , M 86
pure abstract reason , M 86
pure concepts which , M 82
