purpose language designed for M 51
purpose digital computer can D 262
purpose digital computer and D 248
purpose digital computer for D 218
purpose digital computer was D 208
purpose digital computer with D 204
purpose digital computer that D 143
purpose digital computer has D 124
pursued foreign policies that D 117
pulsating arterial vascular bed D 104
