oaks and a number M 98
oars for a moment D 636
oats and a little D 588
oars and a rudder D 436
oars for a minute D 278
oars and a square D 222
oats and a bucket D 186
oats with a little D 178
oars and a paddle D 156
oats for a pillow D 124
oars for a little D 106
oats and a bundle D 90
oars and a canopy D 86
oars and a steering D 45
