acts and consequences , M 412
acting with independence , M 392
acting with intelligence , M 372
acts and achievements , M 275
acid was administered , M 194
acts with consideration , M 181
acts are accomplished , M 165
acts with intelligence , M 117
acts and appointments , M 104
acts are inexplicable , M 99
acting with determination , M 92
acting out aggressively , M 90
acts and communication , M 86
acid and concentrated , M 75
