lynching took place in D 414
lysine side chain of D 274
lyrics were based on D 192
lysine side chain is D 175
lysine were added to D 147
lysine side chain in D 135
lyrics were added to D 118
lysine side chain to D 103
lysine side chain on D 103
lyrics were added by D 102
lyrics were about the D 90
lysine were found to D 41
